name,activity,imagining,probability_A,probability_B,probability_C,probability_D,time_A,time_B,time_C,time_D,A_min,A_max,A_mean,A_std,B_min,B_max,B_mean,B_std,C_min,C_max,C_mean,C_std,D_min,D_max,D_mean,D_std,P_A_A,P_A_B,P_A_C,P_A_D,P_B_A,P_B_B,P_B_C,P_B_D,P_C_A,P_C_B,P_C_C,P_C_D,P_D_A,P_D_B,P_D_C,P_D_D,GEV_total,GEV_A,GEV_B,GEV_C,GEV_D,max_entropy,entropy,mc_entropy
P25,Start,self-guided,0.2117391304347826,0.3393913043478261,0.25330434782608696,0.19556521739130434,9.74,15.612,11.652,8.996,0.012,0.10800000000000007,0.035162454873646214,0.01973961268047172,0.012,0.24000000000000019,0.054971830985915515,0.041264680471245284,0.012,0.18000000000000013,0.03664150943396228,0.021902954345073285,0.012,0.10400000000000006,0.03295238095238096,0.016638406181636874,0.8862422997946612,0.03490759753593429,0.040246406570841886,0.03860369609856263,0.019477191184008202,0.9274730907227063,0.03485392106611994,0.018195797027165558,0.03364229316855476,0.03844833504977686,0.8908341915550978,0.037075180226570546,0.04535349044019564,0.03868385949310805,0.037349933303690526,0.8786127167630058,0.7717127542739592,0.11615309101908212,0.38197705359843875,0.19617663069747981,0.07740597895895852,2.0,1.9655483184011344,0.6226365328817449
P25,Fitness,guided,0.20367567567567568,0.3067027027027027,0.28302702702702703,0.2065945945945946,7.536,11.348,10.472,7.644,0.012,0.19600000000000015,0.040956521739130454,0.02830190999987162,0.016,0.19200000000000014,0.045031746031746055,0.026783356745163137,0.012,0.16800000000000012,0.04291803278688527,0.02772718088923755,0.012,0.11600000000000008,0.031983263598326366,0.016577437539439892,0.9023354564755839,0.027600849256900213,0.022823779193205943,0.04723991507430998,0.023616496298907295,0.9111737751145577,0.040535777229467745,0.024673951357067323,0.025974025974025976,0.03666921313980138,0.9067990832696715,0.030557677616501147,0.025130890052356022,0.05445026178010471,0.04502617801047121,0.875392670157068,0.8035853821521621,0.15047420832211944,0.32107158222191734,0.26264126032144164,0.06939833128668375,2.0,1.9759413625692641,0.6177680141251902
P25,Fitness,self-guided,0.2534,0.36473333333333335,0.25893333333333335,0.12293333333333334,15.204,21.884,15.536000000000001,7.376,0.012,0.17200000000000013,0.04043617021276598,0.025750463127683303,0.012,0.21200000000000016,0.0457824267782427,0.029219175095712892,0.012,0.12000000000000008,0.040144702842377276,0.022461905542991947,0.008,0.09200000000000005,0.026821818181818183,0.011937148904447088,0.9010786635096028,0.0244672454617206,0.04104183109707971,0.033412259931596945,0.0356489945155393,0.9127970749542962,0.03053016453382084,0.02102376599634369,0.0213697219361483,0.06977342945417096,0.9003604531410917,0.008496395468589083,0.05314533622559653,0.061279826464208244,0.03470715835140998,0.8508676789587852,0.7990747351267741,0.1765797711912145,0.443416481226227,0.15158622435664443,0.027492258352688106,2.0,1.9090878174680543,0.6156717329766478
P25,Your,guided,0.1694,0.3549,0.1555,0.3202,6.776,14.196,6.22,12.808,0.012,0.12800000000000009,0.03439593908629443,0.020414625586174764,0.012,0.22400000000000017,0.04550000000000002,0.03301213840470326,0.012,0.07600000000000004,0.026810344827586218,0.011550424528026916,0.012,0.2880000000000002,0.047970037453183546,0.03327604216843708,0.8837072018890201,0.03423848878394333,0.045454545454545456,0.03659976387249114,0.0290304396843292,0.9123449830890643,0.02762119503945885,0.03100338218714769,0.03472668810289389,0.054019292604501605,0.8508038585209003,0.06045016077170418,0.012492192379762648,0.05309181761399125,0.017801374141161775,0.9166146158650843,0.8197030619868078,0.1020439551444616,0.4192620791129812,0.03683416340815819,0.2615628643212068,2.0,1.9079144034438467,0.6179485832219459
P25,Your,self-guided,0.20066666666666666,0.37066666666666664,0.2786666666666667,0.15,12.04,22.24,16.72,9.0,0.012,0.16400000000000012,0.0387138263665595,0.02565950245165162,0.012,0.20000000000000015,0.04529531568228108,0.031951853393618834,0.012,0.21600000000000016,0.04354166666666668,0.029282359830147292,0.012,0.08800000000000005,0.02556818181818182,0.010405194784932995,0.8966777408637874,0.02292358803986711,0.0345514950166113,0.04584717607973422,0.030401151286202556,0.9118546501169275,0.030401151286202556,0.027343047310667386,0.01507177033492823,0.06196172248803828,0.908133971291866,0.014832535885167464,0.035111111111111114,0.07244444444444445,0.04888888888888889,0.8435555555555555,0.8198748547286457,0.13710948685179664,0.44317433254218347,0.2019799884718834,0.03761104686278223,2.0,1.9199283558015214,0.6237295526730204
P06,Successful,guided,0.3871578947368421,0.15010526315789474,0.10547368421052632,0.35726315789473684,14.712,5.704,4.008,13.576,0.016,0.4200000000000003,0.07356000000000006,0.06067591284851021,0.012,0.35600000000000026,0.04637398373983742,0.05382256279891959,0.012,0.2920000000000002,0.04218947368421055,0.04329100909131188,0.012,0.32000000000000023,0.05801709401709405,0.05072230125444547,0.9456226209896683,0.010059815116911366,0.009787928221859706,0.03452963567156063,0.02664796633941094,0.9137447405329593,0.012622720897615708,0.046984572230014024,0.036926147704590816,0.017964071856287425,0.9051896207584831,0.03992015968063872,0.036840554081933395,0.0197465369879163,0.012083701738874153,0.9313292071912762,0.5955251700819552,0.2972124673542331,0.07428812205135947,0.05522367744436131,0.16880090323200123,2.0,1.8134840634124632,0.4545106287725549
P06,Successful,self-guided,0.38406666666666667,0.09493333333333333,0.4292666666666667,0.09173333333333333,23.044,5.696,25.756,5.504,0.008,0.3880000000000003,0.048925690021231455,0.0410510634102712,0.012,0.2680000000000002,0.04157664233576644,0.04050875774964624,0.012,0.3800000000000003,0.05840362811791387,0.051865431892403224,0.012,0.2960000000000002,0.04107462686567166,0.0438209768594959,0.9182433605276862,0.013365735115431349,0.05710814094775213,0.01128276340913036,0.047752808988764044,0.9037921348314607,0.037921348314606744,0.010533707865168539,0.051568810189499846,0.008387698042870456,0.9316557937247593,0.008387698042870456,0.05159883720930233,0.00436046511627907,0.04142441860465116,0.9026162790697675,0.5685717953962642,0.1659885718754214,0.05409968406020472,0.2871057317352956,0.061377807725342466,2.0,1.6925935859689911,0.4882297256125007
P06,Training,guided,0.10162162162162162,0.2292972972972973,0.09945945945945946,0.5696216216216217,3.76,8.484,3.68,21.076,0.012,0.19600000000000015,0.04000000000000002,0.03827781980941058,0.012,0.3760000000000003,0.05618543046357618,0.0558471665610188,0.012,0.3120000000000002,0.053333333333333365,0.05567469351136606,0.012,0.5000000000000003,0.0962374429223745,0.09371645891243938,0.9,0.015957446808510637,0.013829787234042552,0.07021276595744681,0.006600660066006601,0.9288071664309288,0.012258368694012258,0.05233380480905234,0.017391304347826087,0.011956521739130435,0.925,0.04565217391304348,0.012148823082763858,0.02372817008352316,0.005504935459377373,0.9586180713743356,0.6340999184759483,0.05682641974325836,0.15778424573170688,0.08609593246292255,0.3333933205380605,2.0,1.6160757876905951,0.38426598288373925
P06,Training,self-guided,0.3222,0.097,0.24446666666666667,0.3363333333333333,19.332,5.82,14.668,20.18,0.012,0.34400000000000025,0.05325619834710746,0.04769794693717192,0.012,0.1520000000000001,0.03506024096385543,0.025072112572689202,0.012,0.16400000000000012,0.0343512880562061,0.02221753779023116,0.008,0.2480000000000002,0.0398027613412229,0.028762109228744656,0.9248913718187461,0.0074487895716946,0.0260707635009311,0.04158907510862818,0.0288659793814433,0.8859106529209622,0.048109965635738834,0.03711340206185567,0.028641571194762683,0.018821603927986905,0.88379705400982,0.06873977086743044,0.042814667988107034,0.012091179385530228,0.04558969276511397,0.8995044598612487,0.7084420367983835,0.41890512321765816,0.03306753041766351,0.06473092553738434,0.19173845762567737,2.0,1.8785106400156155,0.594657142268944
P06,Slow,guided,0.12076595744680851,0.19829787234042554,0.32068085106382976,0.36025531914893616,5.676,9.32,15.071999999999997,16.932,0.012,0.45200000000000035,0.05207339449541286,0.05383762649014241,0.012,0.3800000000000003,0.04804123711340208,0.04138028753413511,0.012,0.32800000000000024,0.05344680851063833,0.04676126564788109,0.012,0.32400000000000023,0.05606622516556294,0.048206463922344726,0.923185341789993,0.015503875968992248,0.031007751937984496,0.030303030303030304,0.01072961373390558,0.9167381974248927,0.027896995708154508,0.04463519313304721,0.011149455800371648,0.02256437483408548,0.9254048314308468,0.040881337934696046,0.009922041105598866,0.020552799433026223,0.040869359792109615,0.9286557996692653,0.6377671025181237,0.08273688213185126,0.12130778784014812,0.25489690046016666,0.17882553208595767,2.0,1.8879732052399976,0.4916829057437786
P06,Slow,self-guided,0.35213333333333335,0.5161333333333333,0.08966666666666667,0.04206666666666667,21.128,30.968,5.38,2.524,0.012,0.20400000000000015,0.04347325102880661,0.030394699568490502,0.012,0.4000000000000003,0.06451666666666672,0.056264847423196304,0.012,0.4880000000000004,0.03448717948717949,0.04112106690404276,0.008,0.8160000000000006,0.045890909090909114,0.10972190843255811,0.90798939795532,0.07213176826959485,0.01419916698220371,0.005679666792881484,0.04857253584808165,0.9381216897041725,0.01033458209533652,0.0029711923524092495,0.058736059479553904,0.055762081784386616,0.8840148698884759,0.001486988847583643,0.04754358161648178,0.03803486529318542,0.001584786053882726,0.9128367670364501,0.6422254507944599,0.15304896902814305,0.4008595659712172,0.03584570751068753,0.052471208284412166,2.0,1.5270009934734183,0.46827878856346783
